Advance to Go (Collect £200),move,loc,go
Bank error in your favour. Collect £200,money,,
Doctor’s fee. Pay £50,money,,
From sale of stock you get £50,money,,
Get Out of Jail Free,jail_free,,
"Go to Jail. Go directly to jail, do not pass Go, do not collect £200",go_jail,,
Holiday fund matures. Receive £100,money,,
Income tax refund. Collect £20,money,,
It is your birthday. Collect £10 from every player,money,,
Life insurance matures. Collect £100,money,,
Pay hospital fees of £100,money,,
Pay school fees of £50,money,,
Receive £25 consultancy fee,money,,
You are assessed for street repairs. £40 per house. £115 per hotel,money,,
You have won second prize in a beauty contest. Collect £10,money,,
You inherit £100,money,,
